raw_name,age_raw,age,vintage,no_age_statement,abv,historical_menu_price,is_cask_strength,general_note,page_number,source_file,source_type,source_confidence,raw_line,best_match,match_score,db_age,db_abv,record_id,review_reason
Ardbeg Uigeadail,,,,False,51.2,8,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Ardbeg Uigeadail,Ardbeg Uigeadail,100,nan,nan,WDB-01095,ABV mismatch or missing
Auchentoshan,12yo,12.0,,False,40,6,False,Classic lowland distillery just outside Glasgow. The only triple distilled malt. Creates a smooth and delicate malt.’ MK,2,The_Malt_List.pdf,historical_bar_menu,medium,Auchentoshan,Auchentoshan 12Y,86,12.0,nan,WDB-00018,Fuzzy match threshold
Auchentoshan,18yo,18.0,,False,58.1,9,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Auchentoshan,Auchentoshan 12Y,86,12.0,nan,WDB-00018,Fuzzy match threshold
Auchentoshan,3wood,,,False,43,8,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Auchentoshan,Auchentoshan 12Y,86,12.0,nan,WDB-00018,ABV mismatch or missing
Aultmore,12yo,12.0,,False,43,8,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Aultmore,Altore,86,nan,nan,WDB-01865,Fuzzy match threshold
Benromach,10yo,10.0,,False,43,6,False,,3,The_Malt_List.pdf,historical_bar_menu,medium,Benromach,Benromach 5yo,82,5.0,nan,WDB-00708,Fuzzy match threshold
Benromach Organic,,,,False,43,6,False,The world’s first completely organic single malt whisky from the Benromach Distillery in Speyside. Sweet with a little bit of peppery spice.’ MK,3,The_Malt_List.pdf,historical_bar_menu,medium,Benromach Organic,Benromach Organic,100,nan,nan,WDB-00567,ABV mismatch or missing
Bruichladdich,10yo,10.0,,False,46,6,False,Progressive Hebridean Distillers is their moto and they are one of the most exciting and creative distillers at the moment. This 10yr is light and slightly peaty.’ MK,4,The_Malt_List.pdf,historical_bar_menu,medium,Bruichladdich,Bruichladdich Rocks,81,nan,nan,WDB-00346,Fuzzy match threshold
Bruichladdich Rocks,,,,False,46,6,False,,4,The_Malt_List.pdf,historical_bar_menu,medium,Bruichladdich Rocks,Bruichladdich Rocks,100,nan,nan,WDB-00346,ABV mismatch or missing
Bruichladdich Octomore 06.1,,,,False,no statement 57,11,False,Bruichladdich Scottish Barely no statement 50% 9. Bunnahabhain 12yo 40% 7. Bushmills (Irish) 10yo 40% Cambus (grain) 31yo 53.2% 8. Caol Ila 10yo/1999 43% 9. Caol Ila 12yo 43% 7. ‘Lighter than some other Islay malts. Spicy with vanilla hints.’ MK,4,The_Malt_List.pdf,historical_bar_menu,medium,Bruichladdich Octomore 06.1,Bruichladdich Octomore 10.2,93,nan,nan,WDB-01129,ABV mismatch or missing
Cragganmore,12yo,12.0,,False,40,6,False,,4,The_Malt_List.pdf,historical_bar_menu,medium,Cragganmore,Cragganmore 25yo,81,25.0,nan,WDB-00423,Fuzzy match threshold
Cragganmore,1981,,1981.0,False,40,7,False,"Cragganmore Distillers Ed. 1987 40% 7. Craigellachie 20yo/1981 43% 7. CU Dhub 40% 7. Dailuaine 16yo 40% 8. Dalmore 12yo 40% ‘One of my personal favourites. The 10yo has a lovely mix of sherry notes with chocolate and orange flavours. I have had the pleasure of meeting the man who makes the vattings and blendings for the Dalmore, Mr Richard Patterson. One of the most charismatic men in the industry.’ MK",5,The_Malt_List.pdf,historical_bar_menu,medium,Cragganmore,Cragganmore 25yo,81,25.0,nan,WDB-00423,Fuzzy match threshold
Dalmore Cigar Malt,no statement,,,True,44,6,False,,5,The_Malt_List.pdf,historical_bar_menu,medium,Dalmore Cigar Malt,Dalmore Cigar Malt,100,nan,nan,WDB-00337,ABV mismatch or missing
Glenfarclas,15yo,15.0,,False,46,7,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glenfarclas,Glenfarclas 105,85,nan,nan,WDB-00199,Fuzzy match threshold
Glenfarclas,21yo,21.0,,False,43,9,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glenfarclas,Glenfarclas 105,85,nan,nan,WDB-00199,Fuzzy match threshold
Glenfarclas 105,no statement,,,True,60,7,True,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glenfarclas 105,Glenfarclas 105,100,nan,nan,WDB-00199,ABV mismatch or missing
Glenfiddich,18yo,18.0,,False,40,7,False,,7,The_Malt_List.pdf,historical_bar_menu,medium,Glenfiddich,Glenfiddich 30yo,81,30.0,nan,WDB-00410,Fuzzy match threshold
Glenfiddich rich oak,no statement,,,True,40,7,False,Glenkinchie distillers ed. 1996 43% 7. Glenlivet 12yo 40% Glenlivet 15yo 40% 7. Glenlivet 18yo 43% 9. Glenlochy 1977 40% 25. Glenlossie 10yo 40% 6. Glenlossie 1974 43% 15.,7,The_Malt_List.pdf,historical_bar_menu,medium,Glenfiddich rich oak,Glenfiddich 14yo Rich Oak,89,14.0,nan,WDB-00563,Fuzzy match threshold
Highland Park,18yo,18.0,,False,43,9,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Highland Park,Highland Park 25yo,84,25.0,nan,WDB-00032,Fuzzy match threshold
Highland Park,1991/17yo,17.0,1991.0,False,46,14,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Highland Park,Highland Park 25yo,84,25.0,nan,WDB-00032,Fuzzy match threshold
Jura Superstition,no statement,,,True,43,6,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Jura Superstition,Jura Superstition,100,nan,nan,WDB-01074,ABV mismatch or missing
Macallan Amber,,,,False,40,6,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Macallan Amber,Macallan Amber,100,nan,nan,WDB-00634,ABV mismatch or missing
Macallan Gold,no statement,,,True,40,6,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Macallan Gold,Macallan Gold,100,nan,nan,WDB-00863,ABV mismatch or missing
Oban distillers ed.,1995,,1995.0,False,43,7,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Oban distillers ed.,Piedmont Distillers,81,nan,nan,WDB-02606,Fuzzy match threshold
Old Fettercairn,10yo,10.0,,False,40,9,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Old Fettercairn,Fettercairn Fior,84,nan,nan,WDB-01065,Fuzzy match threshold
Old Pulteney,8yo,8.0,,False,40,6,False,The northern most distillery on the mainland located on the coast in Wick. Its light and fresh taste make it ideal for a aperitif. Its location on the coast gives a salty aftertaste.’MK,11,The_Malt_List.pdf,historical_bar_menu,medium,Old Pulteney,Old Pulteney 25yo,83,25.0,nan,WDB-00431,Fuzzy match threshold
Old Pulteney,12yo,12.0,,False,40,6,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Old Pulteney,Old Pulteney 25yo,83,25.0,nan,WDB-00431,Fuzzy match threshold
Royal Brackla,1994/6yo,6.0,1994.0,False,43,10,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Royal Brackla,Royal Brackla 21yo,84,21.0,nan,WDB-00170,Fuzzy match threshold
Royal Brackla,18yo,18.0,,False,43,12,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Royal Brackla,Royal Brackla 21yo,84,21.0,nan,WDB-00170,Fuzzy match threshold
Royal Lochnagar,12yo,12.0,,False,40,6,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Royal Lochnagar,Royal Lochnagar 12yo,86,12.0,nan,WDB-00399,Fuzzy match threshold
Springbank,15yo,15.0,,False,46,7,False,,13,The_Malt_List.pdf,historical_bar_menu,medium,Springbank,Springbank CV,87,nan,nan,WDB-01075,Fuzzy match threshold
Springbank,18yo,18.0,,False,46,9,False,Springbank Bourbon Cask (CS) 12yo 58.5% 14. Strathmill 1988/11yo 50% 11. Strathisla 12yo 43% 6. Stronachie 12yo 43% 6. Talisker (Skye) 10yo 45.8% Tamdhu 10yo 40% Tamnavulin 1990 45% 7. Teaninich 10yo 43% 7. Tobermory 10yo 40% 6. Tomatin 10yo 40% Tomatin 15yo 40% 6. Tomatin 1988 43% 6. Tomintoul 12yo 49% 7. Tomintoul Glenlivet (CS) 1985/12yo 64.4% 12. Tormore 15yo 46% 7. Tullibardine 10yo 40% 7. Tyrconnel (Irish) 40% 8. Westmhor (W. Isle) 10yo 40% 9. Yamazaki (Japan) 10yo 40% 6.,13,The_Malt_List.pdf,historical_bar_menu,medium,Springbank,Springbank CV,87,nan,nan,WDB-01075,Fuzzy match threshold
