source,source_id,region_name,country,description,url,confidence
whiskeyfyi,bangalore,Bangalore,India,"Bangalore (Bengaluru) at 920 meters elevation in southern India is home to Amrut, India's first single malt distillery to gain international recognition. The city's tropical climate with its high angel's share produces intensely concentrated whiskies that mature rapidly compared to cooler climates.",,high
whiskeyfyi,indiana,Indiana,United States,"Indiana is home to MGP Ingredients in Lawrenceburg, one of the most prolific whiskey producers in America. MGP produces bourbon, rye, and other whiskeys that are sourced by dozens of brands nationwide. The state's distilling heritage dates to the early 19th century along the Ohio River valley.",,high
whiskeyfyi,kentucky,Kentucky,United States,"Kentucky produces approximately 95% of the world's bourbon supply and is home to iconic distilleries along the Kentucky Bourbon Trail. The state's limestone-filtered water, extreme seasonal temperature swings, and deep distilling heritage make it the undisputed heartland of American whiskey.",,high
whiskeyfyi,lowland,Lowland,Scotland,"The Lowland region encompasses the southern portion of Scotland below an imaginary line between the Clyde and Tay estuaries. Lowland malts are traditionally lighter, gentler, and more floral than their Highland and Islay counterparts, often triple-distilled for extra smoothness.",,high
whiskeyfyi,campbeltown,Campbeltown,Scotland,"Once home to over 30 distilleries, Campbeltown on the Kintyre peninsula now has just three active producers. Despite its small size, it retains its own regional designation due to its distinctive style: briny, oily, and slightly smoky with a robust maritime character.",,high
whiskeyfyi,colorado,Colorado,United States,"Colorado's high altitude and dramatic temperature swings between day and night create unique whiskey maturation conditions. Stranahan's in Denver pioneered the state's single malt movement, and a growing craft scene benefits from Rocky Mountain snowmelt water and an adventurous local consumer base.",,high
whiskeyfyi,highland,Highland,Scotland,"The Highland region is the largest Scotch whisky region by geography, stretching from the central belt to the northern coast. Highland malts are diverse, ranging from light and floral in the south to rich and full-bodied in the north, with coastal distilleries showing maritime influence.",,high
whiskeyfyi,speyside,Speyside,Scotland,"Speyside is the most densely concentrated whisky-producing region in Scotland, home to over half of the country's distilleries along the River Spey and its tributaries. Speyside malts are renowned for their elegance, with flavors ranging from light and grassy to rich and sherried.",,high
whiskeyfyi,new-york,New York,United States,"New York has emerged as a leading craft distilling state with over 100 licensed distilleries. The Hudson Valley and Finger Lakes regions are particularly active, producing rye whiskey, bourbon, and single malt expressions that reflect the state's agricultural diversity and cold climate.",,high
whiskeyfyi,tennessee,Tennessee,United States,"Tennessee is home to its own legally distinct style of whiskey, defined by the Lincoln County Process of charcoal mellowing before aging. The state's distilling tradition dates to the late 18th century, with Jack Daniel's and George Dickel as the most recognized producers.",,high
whiskeyfyi,texas,Texas,United States,"Texas has become a notable whiskey-producing state, with extreme summer heat accelerating barrel aging and producing bold, mature-tasting spirits in a fraction of the time required in cooler states. Distilleries like Balcones and Garrison Brothers have garnered international recognition.",,high
whiskeyfyi,hokkaido,Hokkaido,Japan,"Hokkaido, Japan's northernmost main island, has a cold climate comparable to Scotland. Nikka's Yoichi distillery was founded here in 1934 by Masataka Taketsuru specifically because the climate reminded him of Scottish Highlands. The harsh winters produce bold, peated, and maritime-influenced whiskies.",,high
whiskeyfyi,honshu,Honshu,Japan,"Honshu, Japan's largest island, is home to the country's most famous whisky distilleries including Yamazaki, Hakushu, and Chichibu. The island's diverse climate zones — from the forested Hakushu highlands to the humid Osaka lowlands — enable a wide range of maturation profiles.",,high
whiskeyfyi,islands,Islands,Scotland,"The Islands designation covers Scottish island distilleries outside of Islay, including Skye, Mull, Jura, Arran, and Orkney. While not an official Scotch Whisky Association region, these distilleries share maritime influences and produce whiskies ranging from lightly coastal to richly peated.",,high
whiskeyfyi,munster,Munster,Ireland,"Munster in southern Ireland is the heartland of Irish whiskey production, home to the Midleton Distillery in Cork that produces Jameson, Redbreast, and Midleton Very Rare. County Kerry's Dingle Distillery and West Cork Distillers add craft dimension to the region's deep distilling heritage.",,high
whiskeyfyi,oregon,Oregon,United States,"Oregon is a pioneer in the American single malt movement, with distilleries like Westland leading the push for a defined category. The Pacific Northwest climate provides cool, steady maturation conditions, and local barley varieties contribute distinct terroir-driven character.",,high
whiskeyfyi,connacht,Connacht,Ireland,"Connacht on Ireland's rugged west coast is the newest frontier for Irish whiskey, with distilleries drawing on the region's pure Atlantic air and water. The Connacht Whiskey Company and Lough Gill Distillery are among the producers establishing a new tradition in the west of Ireland.",,high
whiskeyfyi,goa,Goa,India,"Goa on India's western coast provides a unique coastal tropical environment for whisky maturation. Paul John distillery takes advantage of the warm, humid climate and sea air, producing single malts with a distinctive character that has won numerous international awards.",,high
whiskeyfyi,islay,Islay,Scotland,"Islay is a small Hebridean island famous for producing the most heavily peated and phenolic Scotch whiskies in the world. Its nine active distilleries produce malts with intense smoke, maritime salt, and medicinal character derived from local peat and Atlantic exposure.",,high
whiskeyfyi,leinster,Leinster,Ireland,"Leinster encompasses Dublin and Ireland's east coast, historically the center of Irish whiskey production with legendary names like John Jameson, John Power, and George Roe. The region has seen a dramatic revival with Teeling, Roe & Co, and several new distilleries returning whiskey-making to the capital.",,high
whiskeyfyi,tasmania,Tasmania,Australia,"Tasmania is the epicenter of Australian whisky, with over 30 distilleries on the island. The cool maritime climate, clean air, and pure water mirror ideal Scottish conditions. Sullivan's Cove became the first non-Scottish, non-Japanese distillery to win World's Best Single Malt at the World Whiskies Awards in 2014.",,high
whiskeyfyi,ulster,Ulster,Ireland,"Ulster in northern Ireland is home to Bushmills, which holds the world's oldest licensed distillery claim dating to 1608. The region's distilling tradition spans both Northern Ireland and County Donegal, with a growing number of craft producers joining Bushmills in the region.",,high
whiskeyfyi,melbourne,Melbourne,Australia,"Melbourne has emerged as a hub for innovative Australian whisky, led by Starward which pioneered the use of Australian wine barrels for maturation. The city's temperate climate with warm summers accelerates aging, and a thriving cocktail culture provides a ready market for local craft spirits.",,high
